专业,题目,链接,摘要,作者,导师,学校,发表时间,等级,关键词1,关键词2,关键词3,关键词4,下载量,被引数
统计学,非利息收入对我国商业银行经营风险影响的实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014405379.htm,"我国金融市场实行分业经营政策,长期以来商业银行的收入来源主要依靠利息差,这与西方发达国家的银行在收入结构上具有很大的差异。20世纪80年代,金融科技的创新以及新的国际环境促进了国际银行界发生巨大的转变,欧美银...",潘蹦蹦,郭建军,西南财经大学,2014,硕士论文,非利息收入,净利息收入,资产组合理论,银行破产风险Z值,929,14
统计学,我国经济开放度与经济增长关系实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-10689-1014035576.htm,"改革开放以来,遵循改革开放的政策方针，我国逐渐加大经济开放程度,加快经济结构的调整和升级,实现了经济的快速增长。目前，全球经济一体化进程加速，我国与国际经济市场联系越来越紧密，加大经济开放力度，发展开放...",张新,费宇,云南财经大学,2014,硕士论文,经济开放度,经济增长,协整理论,误差修正模型,1333,10
统计学,突发事件环境下投资者情绪对股票价格波动影响的实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014405244.htm,"进入二十一世纪之后,伴随着全球化进程的日益加快,国家与国家之间、地区与地区之间、领域与领域之间的联系越来越紧密,彼此之间的相互影响也越来越大。同时,互联网技术进步的日新月异,人们在日常社会生活、经济生活乃...",刘定平,聂富强,西南财经大学,2014,硕士论文,突发事件,内幕交易效应,公告效应,传递效应,1508,9
统计学,人民币国际化问题的实证研究?,http://cdmd.cnki.com.cn/Article/CDMD-10384-1014224472.htm,"自2008年的金融危机之后,中国经济的世界影响力迅速提高。作为世界第二大经济体,中国经济已经具有举足轻重的地位。然而,经济大国并没有带来货币大国的地位,人民币的国际化程度远远落后于中国经济的世界地位,因此加速...",王斐斐,沈绿珠,厦门大学,2014,硕士论文,人民币,国际化,定量研究,,4206,9
统计学,林木生物质能源资源潜力评估研究?,http://cdmd.cnki.com.cn/Article/CDMD-10022-1014327629.htm,"根据国际能源署(IEA)报告,中国自2009年以后取代美国成为全球第一大能源消费国,而中国的能源资源(尤其是煤炭)虽然比较丰富,但不足以满足其所有能源需求的增长,能源供给压力不断加大。此外,自21世纪以来,使用化石燃料...",潘小苏,张彩虹,北京林业大学,2014,硕士论文,林木生物质能源,资源量,自下而上的方法,潜力评估,802,12
统计学,有限高斯混合模型聚类算法的研究?,http://cdmd.cnki.com.cn/Article/CDMD-10741-1014225555.htm,聚类分析一直以来是统计学中一个重要的组成部分，伴随信息技术的快速发展，数据量的迅猛增加，聚类分析对于数据的处理和分析越来越重要。基于模型的聚类算法近年来得到了广泛的关注。它的主要思想是：假设数据服从某...,古俊哲,李振东,兰州商学院,2014,硕士论文,聚类,有限混合高斯模型,EM算法,初始化,793,10
统计学,关于股票市场和债券市场收益率联动特征的研究?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014405866.htm,"伴随着经济的腾飞,经过若干年的发展,我国资本市场已经初具规模,其中以股票市场和债券市场规模最为庞大,共同构成了企业最主要的融资场所,而相应的,股票和债券也成为了投资者最主要的投资品种。但是在我国,由于各种历...",范原源,李保坤,西南财经大学,2014,硕士论文,股票市场债券市场联动特征,DCC-MVGARCH模型,VAR模型,,981,10
统计学,基于欧氏距离协调度模型的黑龙江省区域人口与经济协调发展...?,http://cdmd.cnki.com.cn/Article/CDMD-10225-1014402132.htm,"人口与经济发展是人类社会发展的两大主题,研究人口与经济之间的关系,既具有重要的理论意义,也具有强烈的现实意义。通过区域人口与经济协调发展状况的研究,有助于解析人口地区分布类型,促进人口与经济相对协调的合理...",陈威,吕洁华,东北林业大学,2014,硕士论文,人口系统,经济系统,欧氏距离协调度模型,协调发展,549,12
统计学,中国房地产业关联波及效应研究?,http://cdmd.cnki.com.cn/Article/CDMD-10651-1014403599.htm,"过去几年甚至几十年里,房地产业为中国的GDP的增长贡献了巨大的力量,房地产业的兴盛与萧条都时刻影响着我国国民经济的走势与方向,它对国民经济起着举足轻重的作用。房地产业的产业链较长,涉及面也较广,既牵动着金属冶...",卢舒,向蓉美,西南财经大学,2014,硕士论文,房地产业,投入产出法,关联效应,波及效应,1144,10
统计学,我国科技创新对区域经济增长的溢出效应分析?,http://cdmd.cnki.com.cn/Article/CDMD-10456-1014230569.htm,在国家实施自主创新战略的宏观大背景下，分析我国创新能力的空间分布结构，研究不同地区创新产出能力的影响因素，探讨科技创新对于区域间的经济增长的溢出效应，制定和采取切实可行的创新政策措施，从而提高区域创新...,安冉,宋廷山,山东财经大学,2014,硕士论文,科技创新,区域经济增长,溢出效应,空间计量,750,10
统计学,综合评价中若干理论方法的适用性研究?,http://cdmd.cnki.com.cn/Article/CDMD-10532-1014316038.htm,论文在对综合评价基本认识的基础上，对客观赋权法（包括线性规划法）、主成分分析法等在综合评价中的适用性提出质疑而对主观赋权法提出肯定，并从理论上和实际运用上分别进行阐述说明。另外，论文还对那些不适用的方...,王晓男,李正辉,湖南大学,2014,硕士论文,综合评价,权重系数,客观赋权法,主观赋权法,437,15
统计学,金融业和房地产业营改增适用税率研究?,http://cdmd.cnki.com.cn/Article/CDMD-10353-1015555121.htm,"营改增是深化财税体制改革的“重头戏”,也是以结构性减税促进稳增长、调结构的“关键点”。而营改增行业适用税率的设计是营改增的主要内容,决定营改增政策效应的发挥,关乎营改增的成败。目前,营业税纳税额较大的金融...",刘建虎,何平,浙江工商大学,2014,硕士论文,金融业,房地产业,营改增,增值税税率,1222,6
统计学,北京空气污染的函数型数据分析与治理?,http://cdmd.cnki.com.cn/Article/CDMD-10038-1014220831.htm,2014年春节之后，北京迎来了罕见的连续性高强度的雾霾天气，全天API指数居高临下，并接近爆表状态。整个北京城都被灰暗的雾气所掩盖，行人们纷纷带起了口罩，甚至是“防毒面具”，市政府以及北京环保局也是每天新闻...,刘哲,郭文英,首都经济贸易大学,2014,硕士论文,API,函数数据拟合,函数数据回归,空气污染治理,1477,12
